"Qubit","T1 (us)","T2 (us)","Readout assignment error","Prob meas0 prep1","Prob meas1 prep0","Readout length (ns)","ID error","Single-qubit gate length (ns)","RX error","Z-axis rotation (rz) error","√x (sx) error","Pauli-X error","CZ error","Gate length (ns)","RZZ error","MEASURE error","Operational"
"11","135.25173244621897","164.58431722002672","0.016845703125","0.015625","0.01806640625","1560","0.00016623347850708902","32","0.00016623347850708902","0","0.00016623347850708902","0.00016623347850708902","10:0.001525986511699412;12:0.004048518375678739","10:68;12:68","10:0.0016204108940979511;12:0.0032647826458222506","0.016845703125","Yes"
"12","285.1747927745463","283.07183752943547","0.019775390625","0.01318359375","0.0263671875","1560","0.0001328200622568624","32","0.0001328200622568624","0","0.0001328200622568624","0.0001328200622568624","18:0.0017730758168029437;13:0.0021391835966102224;11:0.004048518375678739","18:68;13:68;11:68","18:0.0024542740958554687;13:0.002266459056997655;11:0.0032647826458222506","0.019775390625","Yes"
"13","213.22996571500366","108.8497152876362","0.024658203125","0.017578125","0.03173828125","1560","0.0002068602832583318","32","0.0002068602832583318","0","0.0002068602832583318","0.0002068602832583318","12:0.0021391835966102224;14:0.0018252337849548605","12:68;14:68","12:0.002266459056997655;14:0.0023415971691998216","0.024658203125","Yes"
"14","179.30110240659815","97.73008234870548","0.03564453125","0.02978515625","0.04150390625","1560","0.0003249793363468472","32","0.0003249793363468472","0","0.0003249793363468472","0.0003249793363468472","13:0.0018252337849548605","13:68","13:0.0023415971691998216","0.03564453125","Yes"
"15","206.81638862939667","40.44018429861025","0.0166015625","0.0283203125","0.0048828125","1560","0.0005089882359358852","32","0.0005089882359358852","0","0.0005089882359358852","0.0005089882359358852","0:0.0018576212904824196;19:0.004144511450653449","0:68;19:80","0:0.0020646621607558757;19:0.00380351587317293","0.0166015625","Yes"
"16","186.41628383386112","167.37433448658885","0.026123046875","0.01904296875","0.033203125","1560","0.00012506148574887687","32","0.00012506148574887687","0","0.00012506148574887687","0.00012506148574887687","23:0.0033996625320768525;4:0.0015258045741518844","23:184;4:80","23:0.0032022985416798877;4:0.0018506124714549321","0.026123046875","Yes"
"17","155.65539999053703","79.01433008553602","0.01123046875","0.0166015625","0.005859375","1560","0.0006458392314959903","32","0.0006458392314959903","0","0.0006458392314959903","0.0006458392314959903","27:0.003527125629994049;8:0.0020794331370741215","27:160;8:108","27:0.004400645258079067;8:0.004198722462570692","0.01123046875","Yes"
"18","174.2131126306313","192.77632761112378","0.007080078125","0.0048828125","0.00927734375","1560","0.0002705915679911051","32","0.0002705915679911051","0","0.0002705915679911051","0.0002705915679911051","12:0.0017730758168029437;31:0.002814858573353979","12:68;31:68","12:0.0024542740958554687;31:0.0030047048675822807","0.007080078125","Yes"
"19","108.85220322779429","111.93356430312983","0.049072265625","0.07275390625","0.025390625","1560","0.0010716150897942924","32","0.0010716150897942924","0","0.0010716150897942924","0.0010716150897942924","20:0.0058316022991938;15:0.004144511450653449","20:108;15:80","20:0.003620169794825351;15:0.00380351587317293","0.049072265625","Yes"
"20","144.31059202290405","99.68740511120632","0.021240234375","0.02880859375","0.013671875","1560","0.0002926673838336853","32","0.0002926673838336853","0","0.0002926673838336853","0.0002926673838336853","19:0.0058316022991938;21:0.00795485908029342","19:108;21:68","19:0.003620169794825351;21:0.004762883847049287","0.021240234375","Yes"
